path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
31,2,indication | contraindication,0.016822736710309982,0.011094786451390351,0.008977537974715233,0.024667935445904732
32,1,contraindication,0.01782895993117405,0.006715881097114694,0.004754730500280857,0.035683583468198776
32,1,drug_drug,0.014486434603376048,0.0017232173239903766,0.009754895232617855,0.017367422580718994
32,1,drug_protein,0.01745673082768917,,0.01745673082768917,0.01745673082768917
32,1,indication,0.009833918884396553,,0.009833918884396553,0.009833918884396553
32,2,contraindication | contraindication,0.014801383577287197,0.001171555203419023,0.012972768396139145,0.016089778393507004
32,2,drug_drug | drug_drug,0.015277254395186901,0.00031496453417909596,0.014587625861167908,0.015525066293776035
32,2,drug_protein | disease_protein,0.013393177340428034,0.002352497707548073,0.01075238548219204,0.015264852903783321
32,2,drug_protein | drug_protein,0.015276588499546051,,0.015276588499546051,0.015276588499546051
32,2,drug_protein | protein_protein,0.01840476244688034,0.004028071580168786,0.012666866183280945,0.023583628237247467
32,2,indication | contraindication,0.016793796326965094,0.01141070408130433,0.008725210092961788,0.0248623825609684
33,1,contraindication,0.017066040203313936,0.006423421004968654,0.009749763645231724,0.03212801367044449
33,1,drug_drug,0.014444996748146014,0.001721425120932145,0.009717143140733242,0.017849192023277283
33,1,drug_protein,0.015906939283013344,,0.015906939283013344,0.015906939283013344
